"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"39412","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, const Material *, const MediumHWSS *, LightBVH, RayHWSS *, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","GPU and Memory Workload Distribution","Average DRAM Active Cycles","cycle","2,025,608.00","2,025,608.00","2,025,608.00"
"39412","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, const Material *, const MediumHWSS *, LightBVH, RayHWSS *, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","GPU and Memory Workload Distribution","Total DRAM Elapsed Cycles","cycle","26,103,808.00","26,103,808.00","26,103,808.00"
"39412","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, const Material *, const MediumHWSS *, LightBVH, RayHWSS *, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","GPU and Memory Workload Distribution","Average L1 Active Cycles","cycle","3,182,349.65","3,182,349.65","3,182,349.65"
"39412","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, const Material *, const MediumHWSS *, LightBVH, RayHWSS *, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","GPU and Memory Workload Distribution","Total L1 Elapsed Cycles","cycle","64,586,670.00","64,586,670.00","64,586,670.00"
"39412","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, const Material *, const MediumHWSS *, LightBVH, RayHWSS *, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","GPU and Memory Workload Distribution","Average L2 Active Cycles","cycle","2,966,076.67","2,966,076.67","2,966,076.67"
"39412","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, const Material *, const MediumHWSS *, LightBVH, RayHWSS *, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","GPU and Memory Workload Distribution","Total L2 Elapsed Cycles","cycle","36,777,132.00","36,777,132.00","36,777,132.00"
"39412","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, const Material *, const MediumHWSS *, LightBVH, RayHWSS *, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","GPU and Memory Workload Distribution","Average SM Active Cycles","cycle","3,182,349.65","3,182,349.65","3,182,349.65"
"39412","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, const Material *, const MediumHWSS *, LightBVH, RayHWSS *, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","GPU and Memory Workload Distribution","Total SM Elapsed Cycles","cycle","64,586,670.00","64,586,670.00","64,586,670.00"
"39412","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, const Material *, const MediumHWSS *, LightBVH, RayHWSS *, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","GPU and Memory Workload Distribution","Average SMSP Active Cycles","cycle","2,672,017.61","2,672,017.61","2,672,017.61"
"39412","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, const Material *, const MediumHWSS *, LightBVH, RayHWSS *, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","GPU and Memory Workload Distribution","Total SMSP Elapsed Cycles","cycle","258,346,680.00","258,346,680.00","258,346,680.00"
