Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
55.1,17785442062,8192,2171074.5,1334615.0,191302,7775874,2169577.7,"Vera::Spectral::HWSS::ShadeKernelHWSSWavefront(Vera::Core::GeometryBuffers, Vera::Spectral::HWSS::RayHWSS *, Vera::Core::WavefrontHitRecord *, const Vera::Spectral::HWSS::Material *, const Vera::Spectral::HWSS::MediumHWSS *, Vera::Spectral::HWSS::LightBVH, Vera::Spectral::HWSS::RayHWSS *, unsigned int, Vera::Spectral::HWSS::FrameBufferHWSS, Vera::Spectral::HWSS::EnvMapHWSS, unsigned int)"
30.1,9711394429,8192,1185473.0,880185.5,165509,4301661,1015501.3,"Vera::Core::TraversalKernelWavefront(Vera::Core::GeometryBuffers, Vera::Spectral::HWSS::RayHWSS *, Vera::Core::WavefrontHitRecord *, unsigned int)"
10.7,3461542286,8192,422551.5,200181.5,15456,3341089,571388.6,"void cub::_V_300200_SM_860::detail::select::DeviceSelectSweepKernel<cub::_V_300200_SM_860::detail::select::policy_hub<Vera::Spectral::HWSS::RayHWSS, cub::_V_300200_SM_860::NullType, int, (bool)0, (cub::_V_300200_SM_860::SelectImpl)0>::Policy1000, Vera::Spectral::HWSS::RayHWSS *, cub::_V_300200_SM_860::NullType *, Vera::Spectral::HWSS::RayHWSS *, unsigned int *, cub::_V_300200_SM_860::ScanTileState<int, (bool)1>, Vera::Spectral::HWSS::AliveOp, cub::_V_300200_SM_860::NullType, int, cub::_V_300200_SM_860::detail::select::streaming_context_t<long long, (bool)1>, (cub::_V_300200_SM_860::SelectImpl)0>(T2, T3, T4, T5, T6, T7, T8, T9, int, T10, cub::_V_300200_SM_860::detail::vsmem_t)"
4.1,1334784967,512,2607001.9,2575819.0,2427942,3436196,163866.1,"Vera::Spectral::HWSS::GeneratePrimaryRaysHWSSKernel(Vera::Core::Camera, Vera::Spectral::HWSS::RayHWSS *, unsigned int, unsigned char)"
0.0,9301058,8192,1135.4,1120.0,800,2400,107.8,"void cub::_V_300200_SM_860::detail::scan::DeviceCompactInitKernel<cub::_V_300200_SM_860::ScanTileState<int, (bool)1>, unsigned int *>(T1, int, T2)"
0.0,366315,1,366315.0,366315.0,366315,366315,0.0,"Vera::Spectral::HWSS::ResolveFrameBufferKernel(Vera::Spectral::HWSS::FrameBufferHWSS, unsigned int, float, Vera::Core::ToneMapper, float, float4 *)"
0.0,107203,2,53601.5,53601.5,1504,105699,73677.0,"void NXB::BuildBVH2Kernel<unsigned long long>(NXB::BVH2BuildState, T1 *)"
0.0,62113,8,7764.1,7856.0,7040,8033,304.2,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned long long, unsigned int, unsigned int, int, int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
0.0,22401,1,22401.0,22401.0,22401,22401,0.0,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortSingleTileKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned long long, unsigned int, unsigned int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int, T6)"
0.0,8576,1,8576.0,8576.0,8576,8576,0.0,"void NXB::ComputeSceneBoundsKernel<NXB::Triangle>(NXB::BVH2BuildState, T1 *)"
0.0,5312,1,5312.0,5312.0,5312,5312,0.0,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortHistogramKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned long long, unsigned int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
0.0,4416,1,4416.0,4416.0,4416,4416,0.0,"void NXB::ComputeSceneBoundsKernel<NXB::AABB>(NXB::BVH2BuildState, T1 *)"
0.0,3744,2,1872.0,1872.0,1440,2304,610.9,"void NXB::ComputeMortonCodesKernel<unsigned long long>(NXB::BVH2BuildState, T1 *)"
0.0,1280,1,1280.0,1280.0,1280,1280,0.0,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortExclusiveSumKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, unsigned int>(T2 *)"
