Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
44.5,12737619262,8192,1554885.2,903883.0,162500,7269334,1696996.6,"Vera::Spectral::HWSS::ShadeKernelHWSSWavefront(Vera::Core::GeometryBuffers, Vera::Spectral::HWSS::RayHWSS *, Vera::Core::WavefrontHitRecord *, const unsigned int *, const Vera::Spectral::HWSS::Material *, const Vera::Spectral::HWSS::MediumHWSS *, Vera::Spectral::HWSS::LightBVH, Vera::Spectral::HWSS::RayHWSS *, unsigned int, Vera::Spectral::HWSS::FrameBufferHWSS, Vera::Spectral::HWSS::EnvMapHWSS, unsigned int, unsigned long long)"
31.6,9056128180,8192,1105484.4,792311.0,154981,4140762,959241.3,"Vera::Core::TraversalKernelWavefront(Vera::Core::GeometryBuffers, Vera::Spectral::HWSS::RayHWSS *, Vera::Core::WavefrontHitRecord *, unsigned int)"
12.3,3511504748,8192,428650.5,204998.0,15233,2682638,577182.1,"void cub::_V_300200_SM_860::detail::select::DeviceSelectSweepKernel<cub::_V_300200_SM_860::detail::select::policy_hub<Vera::Spectral::HWSS::RayHWSS, cub::_V_300200_SM_860::NullType, int, (bool)0, (cub::_V_300200_SM_860::SelectImpl)0>::Policy1000, Vera::Spectral::HWSS::RayHWSS *, cub::_V_300200_SM_860::NullType *, Vera::Spectral::HWSS::RayHWSS *, unsigned int *, cub::_V_300200_SM_860::ScanTileState<int, (bool)1>, Vera::Spectral::HWSS::AliveOp, cub::_V_300200_SM_860::NullType, int, cub::_V_300200_SM_860::detail::select::streaming_context_t<long long, (bool)1>, (cub::_V_300200_SM_860::SelectImpl)0>(T2, T3, T4, T5, T6, T7, T8, T9, int, T10, cub::_V_300200_SM_860::detail::vsmem_t)"
4.6,1327384052,512,2592547.0,2569323.5,2431271,3454854,123943.3,"Vera::Spectral::HWSS::GeneratePrimaryRaysHWSSKernel(Vera::Core::Camera, Vera::Spectral::HWSS::RayHWSS *, unsigned int, unsigned char)"
4.6,1307275929,32768,39894.9,13985.0,4160,603825,53308.4,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned int, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned int, unsigned int, unsigned int, int, int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
2.1,598643254,8192,73076.6,33809.0,4832,792887,106273.9,"Vera::Spectral::HWSS::ExtractMaterialKeysKernel(Vera::Core::GeometryBuffers, Vera::Core::WavefrontHitRecord *, unsigned int *, unsigned int *, unsigned int)"
0.3,92901849,8192,11340.6,4512.5,2752,502383,15075.3,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortHistogramKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned int, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned int, unsigned int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
0.0,10174532,8192,1242.0,1152.0,1088,1920,191.8,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortExclusiveSumKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned int, unsigned int, unsigned int>::Policy1000, unsigned int>(T2 *)"
0.0,9848767,8192,1202.2,1184.0,832,1664,78.5,"void cub::_V_300200_SM_860::detail::scan::DeviceCompactInitKernel<cub::_V_300200_SM_860::ScanTileState<int, (bool)1>, unsigned int *>(T1, int, T2)"
0.0,366187,1,366187.0,366187.0,366187,366187,0.0,"Vera::Spectral::HWSS::ResolveFrameBufferKernel(Vera::Spectral::HWSS::FrameBufferHWSS, unsigned int, float, Vera::Core::ToneMapper, float, float4 *)"
0.0,109412,2,54706.0,54706.0,1473,107939,75282.8,"void NXB::BuildBVH2Kernel<unsigned long long>(NXB::BVH2BuildState, T1 *)"
0.0,62081,8,7760.1,7856.0,7137,8000,270.7,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortOnesweepKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned long long, unsigned int, unsigned int, int, int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T7 *, T7 *, T5 *, const T5 *, T3 *, const T3 *, T4 *, const T4 *, T6, int, int, T8)"
0.0,22400,1,22400.0,22400.0,22400,22400,0.0,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortSingleTileKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned long long, unsigned int, unsigned int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(const T3 *, T3 *, const T4 *, T4 *, T5, int, int, T6)"
0.0,8513,1,8513.0,8513.0,8513,8513,0.0,"void NXB::ComputeSceneBoundsKernel<NXB::Triangle>(NXB::BVH2BuildState, T1 *)"
0.0,5312,1,5312.0,5312.0,5312,5312,0.0,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortHistogramKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, (cub::_V_300200_SM_860::SortOrder)0, unsigned long long, unsigned int, cub::_V_300200_SM_860::detail::identity_decomposer_t>(T4 *, const T3 *, T4, int, int, T5)"
0.0,4384,1,4384.0,4384.0,4384,4384,0.0,"void NXB::ComputeSceneBoundsKernel<NXB::AABB>(NXB::BVH2BuildState, T1 *)"
0.0,3712,2,1856.0,1856.0,1408,2304,633.6,"void NXB::ComputeMortonCodesKernel<unsigned long long>(NXB::BVH2BuildState, T1 *)"
0.0,1280,1,1280.0,1280.0,1280,1280,0.0,"void cub::_V_300200_SM_860::detail::radix_sort::DeviceRadixSortExclusiveSumKernel<cub::_V_300200_SM_860::detail::radix::policy_hub<unsigned long long, unsigned int, unsigned int>::Policy1000, unsigned int>(T2 *)"
