"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","4996","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayCoreSoA, RayExtSoA, const WavefrontHitRecord *, const unsigned int *, const Material *, const MediumHWSS *, LightBVH, RayCoreSoA, RayExtSoA, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int, unsigned long long)","1","7","(256, 1, 1)","(8100, 1, 1)","0","8.6","WarpStateStats","","","","CPIStall","INF","Check the Warp Stall Sampling (All Samples) table for the top stall locations in your source based on sampling data. The Profiling Guide (https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#metrics-reference) provides more details on each stall reason.","",""
"0","4996","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayCoreSoA, RayExtSoA, const WavefrontHitRecord *, const unsigned int *, const Material *, const MediumHWSS *, LightBVH, RayCoreSoA, RayExtSoA, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int, unsigned long long)","1","7","(256, 1, 1)","(8100, 1, 1)","0","8.6","WarpStateStats","","","","ThreadDivergence","OPT","Instructions are executed in warps, which are groups of 32 threads. Optimal instruction throughput is achieved if all 32 threads of a warp execute the same instruction. The chosen launch configuration, early thread completion, and divergent flow control can significantly lower the number of active threads in a warp per cycle. This workload achieves an average of 21.8 threads being active per cycle. This is further reduced to 21.0 threads per warp due to predication. The compiler may use predication to avoid an actual branch. Instead, all instructions are scheduled, but a per-thread condition code or predicate controls which threads execute the instructions. Try to avoid different execution paths within a warp when possible.","global","5.511"
"0","4996","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayCoreSoA, RayExtSoA, const WavefrontHitRecord *, const unsigned int *, const Material *, const MediumHWSS *, LightBVH, RayCoreSoA, RayExtSoA, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int, unsigned long long)","1","7","(256, 1, 1)","(8100, 1, 1)","0","8.6","InstructionStats","","","","FPInstructions","OPT","This workload executes 15208521 fused and 20776807 non-fused FP32 instructions. By converting pairs of non-fused instructions to their fused (https://docs.nvidia.com/cuda/floating-point/#cuda-and-floating-point), higher-throughput equivalent, the achieved FP32 performance could be increased by up to 29% (relative to its current performance).","global","1.675"
"0","4996","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayCoreSoA, RayExtSoA, const WavefrontHitRecord *, const unsigned int *, const Material *, const MediumHWSS *, LightBVH, RayCoreSoA, RayExtSoA, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int, unsigned long long)","1","7","(256, 1, 1)","(8100, 1, 1)","0","8.6","Launch Statistics","Registers Per Thread","register/thread","136",
"0","4996","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayCoreSoA, RayExtSoA, const WavefrontHitRecord *, const unsigned int *, const Material *, const MediumHWSS *, LightBVH, RayCoreSoA, RayExtSoA, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int, unsigned long long)","1","7","(256, 1, 1)","(8100, 1, 1)","0","8.6","Occupancy","Block Limit SM","block","16",
"0","4996","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayCoreSoA, RayExtSoA, const WavefrontHitRecord *, const unsigned int *, const Material *, const MediumHWSS *, LightBVH, RayCoreSoA, RayExtSoA, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int, unsigned long long)","1","7","(256, 1, 1)","(8100, 1, 1)","0","8.6","Occupancy","Block Limit Registers","block","1",
"0","4996","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayCoreSoA, RayExtSoA, const WavefrontHitRecord *, const unsigned int *, const Material *, const MediumHWSS *, LightBVH, RayCoreSoA, RayExtSoA, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int, unsigned long long)","1","7","(256, 1, 1)","(8100, 1, 1)","0","8.6","Occupancy","Block Limit Shared Mem","block","8",
"0","4996","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayCoreSoA, RayExtSoA, const WavefrontHitRecord *, const unsigned int *, const Material *, const MediumHWSS *, LightBVH, RayCoreSoA, RayExtSoA, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int, unsigned long long)","1","7","(256, 1, 1)","(8100, 1, 1)","0","8.6","Occupancy","Block Limit Warps","block","6",
"0","4996","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayCoreSoA, RayExtSoA, const WavefrontHitRecord *, const unsigned int *, const Material *, const MediumHWSS *, LightBVH, RayCoreSoA, RayExtSoA, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int, unsigned long long)","1","7","(256, 1, 1)","(8100, 1, 1)","0","8.6","Occupancy","Achieved Occupancy","%","13.98",
"0","4996","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayCoreSoA, RayExtSoA, const WavefrontHitRecord *, const unsigned int *, const Material *, const MediumHWSS *, LightBVH, RayCoreSoA, RayExtSoA, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int, unsigned long long)","1","7","(256, 1, 1)","(8100, 1, 1)","0","8.6","Occupancy","","","","TheoreticalOccupancy","OPT","The 2.00 theoretical warps per scheduler this kernel can issue according to its occupancy are below the hardware maximum of 12. This kernel's theoretical occupancy (16.7%) is limited by the number of required registers.","global","68.67"
"0","4996","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayCoreSoA, RayExtSoA, const WavefrontHitRecord *, const unsigned int *, const Material *, const MediumHWSS *, LightBVH, RayCoreSoA, RayExtSoA, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int, unsigned long long)","1","7","(256, 1, 1)","(8100, 1, 1)","0","8.6","WorkloadDistribution","","","","WorkloadImbalance","OPT","One or more DRAM Slices have a much lower number of active cycles than the average number of active cycles. Maximum instance value is 50.00% above the average, while the minimum instance value is 100.00% below the average.","global","15.66"
"0","4996","Vera.exe","127.0.0.1","ShadeKernelHWSSWavefront(GeometryBuffers, RayCoreSoA, RayExtSoA, const WavefrontHitRecord *, const unsigned int *, const Material *, const MediumHWSS *, LightBVH, RayCoreSoA, RayExtSoA, unsigned int, FrameBufferHWSS, EnvMapHWSS, unsigned int, unsigned long long)","1","7","(256, 1, 1)","(8100, 1, 1)","0","8.6","SourceCounters","","","","UncoalescedGlobalAccess","OPT","This workload has uncoalesced global accesses resulting in a total of 36570354 excessive sectors (56% of the total 65585415 sectors). Check the L2 Theoretical Sectors Global Excessive table for the primary source locations. The CUDA Programming Guide (https://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#device-memory-accesses) has additional information on reducing uncoalesced device memory accesses.","global","54.75"
