"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","GPU and Memory Workload Distribution","Total SM Elapsed Cycles","cycle","42,456,900.00","42,456,900.00","42,456,900.00"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","GPU and Memory Workload Distribution","Average SMSP Active Cycles","cycle","2,072,930.04","2,072,930.04","2,072,930.04"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","GPU and Memory Workload Distribution","Total SMSP Elapsed Cycles","cycle","169,827,600.00","169,827,600.00","169,827,600.00"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Instruction Statistics","Local Memory Spilling Requests","byte","0.00","0.00","0.00"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Instruction Statistics","Shared Memory Spilling Requests","byte","0.00","0.00","0.00"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Instruction Statistics","Avg. Executed Instructions Per Scheduler","inst","806,307.64","806,307.64","806,307.64"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Instruction Statistics","Executed Instructions","inst","64,504,611.00","64,504,611.00","64,504,611.00"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Instruction Statistics","Avg. Issued Instructions Per Scheduler","inst","809,000.10","809,000.10","809,000.10"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Instruction Statistics","Issued Instructions","inst","64,720,008.00","64,720,008.00","64,720,008.00"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Launch Statistics","Block Size","","256.00","256.00","256.00"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Launch Statistics","Grid Size","","781.00","781.00","781.00"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Launch Statistics","Registers Per Thread","register/thread","68.00","68.00","68.00"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Launch Statistics","Shared Memory Configuration Size","Kbyte","8.19","8.19","8.19"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Launch Statistics","Driver Shared Memory Per Block","Kbyte/block","1.02","1.02","1.02"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Launch Statistics","Dynamic Shared Memory Per Block","byte/block","0.00","0.00","0.00"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Launch Statistics","Static Shared Memory Per Block","byte/block","0.00","0.00","0.00"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Launch Statistics","# SMs","SM","20.00","20.00","20.00"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Launch Statistics","Stack Size","","1,024.00","1,024.00","1,024.00"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Launch Statistics","Threads","thread","199,936.00","199,936.00","199,936.00"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Launch Statistics","# TPCs","","10.00","10.00","10.00"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Launch Statistics","Uses Green Context","","0.00","0.00","0.00"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Launch Statistics","Waves Per SM","","13.02","13.02","13.02"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Memory Workload Analysis","Local Memory Spilling Requests","","0.00","0.00","0.00"
"20756","Vera.exe","127.0.0.1","TraversalKernelWavefront(GeometryBuffers, RayHWSS *, WavefrontHitRecord *, unsigned int)","(256, 1, 1)","(781, 1, 1)","0","8.6","1","Memory Workload Analysis","Local Memory Spilling Request Overhead","%","0.00","0.00","0.00"
